Type,Dedicated Graphic Memory Capacity,SSD,RAM (in GB),Expandable Memory,Touchscreen,Screen Size (in inch),screen_resolution,Storage,CPU_ranking,gpu_benchmark,ram_type_tokenized,Price(RM),Refresh_Rate
2,4.0,1,16,0,0,14.0,1440,1000,48,72.6,4,5499.45,1
1,4.0,1,8,0,0,14.0,1440,1000,48,59.0,4,6407.5,1
1,4.0,1,8,0,0,14.0,1440,1000,48,72.6,4,5499.45,2
4,4.0,1,16,0,0,16.0,2160,1000,48,72.6,4,8964.45,1
2,0.0,1,16,0,0,13.3,1080,512,108,17.5,6,4399.45,1
2,0.0,1,16,0,1,14.0,1440,1000,48,102.0,6,7424.45,1
2,0.0,1,8,0,0,14.0,1080,1256,108,17.5,4,2749.45,1
2,0.0,1,16,0,0,13.3,1080,1000,61,17.5,6,5224.45,1
2,0.0,1,8,1,0,15.6,1080,512,540,5.05,4,2254.45,1
2,0.0,1,8,0,0,13.3,1080,512,108,17.5,6,3849.45,1
2,0.0,1,8,0,0,14.0,1080,256,362,5.05,4,1979.45,1
2,0.0,0,8,1,0,15.6,1080,1000,560,102.0,4,2894.76,1
2,0.0,1,8,0,0,14.0,720,256,873,5.05,4,1869.94,1
2,0.0,1,16,0,0,13.3,1080,512,108,17.5,5,4399.45,1
2,0.0,1,16,0,0,13.3,1080,512,61,17.5,6,4949.45,1
2,0.0,1,16,0,1,14.0,1440,1000,64,102.0,6,6319.5,1
2,0.0,1,8,1,0,14.0,1080,256,362,5.05,4,2309.95,1
1,4.0,1,8,0,0,16.1,1080,512,87,70.9,4,3745.5,1
4,0.0,0,4,0,0,15.6,1080,1000,873,2.13,4,1484.45,1
2,0.0,1,4,0,0,15.6,1080,256,362,5.05,4,1814.45,1
2,0.0,1,8,0,0,15.6,1080,512,362,5.05,4,2144.45,1
4,4.0,1,8,0,0,16.1,1080,512,108,132.0,4,4510.0,1
2,0.0,0,8,0,0,15.6,1080,1000,108,17.5,4,2694.45,1
4,0.0,1,4,0,0,14.0,720,256,560,102.0,4,1374.45,1
2,0.0,1,16,0,0,15.6,1080,512,108,17.5,4,3464.45,1
2,0.0,1,8,1,0,15.6,1080,512,362,5.05,4,2254.45,1
2,0.0,1,8,1,0,15.6,1080,512,187,5.05,4,2518.95,1
2,0.0,1,8,0,0,14.0,1080,512,108,17.5,4,2804.45,1
2,0.0,1,8,0,0,14.1,1080,512,362,5.05,4,2446.95,1
4,0.0,0,4,0,0,15.6,720,1000,745,1.53,4,1555.95,1
2,0.0,1,16,0,0,14.0,1080,1000,64,102.0,4,4014.89,1
4,0.0,1,8,0,0,14.0,1080,512,108,17.5,4,3299.94,1
1,4.0,1,8,1,0,15.6,1080,512,108,72.6,4,4124.45,2
2,0.0,1,8,0,0,14.0,1080,256,87,102.0,4,2749.45,2
2,0.0,1,8,0,0,15.6,1080,256,362,5.05,4,2199.95,1
1,6.0,1,16,1,0,15.6,1080,512,64,132.0,4,6324.45,2
1,4.0,1,16,1,0,15.6,1080,512,108,59.0,4,4729.45,2
1,4.0,1,16,1,0,15.6,1080,512,61,59.0,4,5499.45,1
1,4.0,1,16,0,0,15.6,1080,512,61,59.0,4,5224.45,2
1,4.0,1,16,1,0,15.6,1080,512,61,59.0,4,5499.45,1
2,0.0,1,8,0,0,15.6,1080,512,24,102.0,4,3849.45,2
2,0.0,1,8,0,0,15.6,1080,512,362,4.23,4,2336.95,2
2,0.0,1,8,1,0,15.6,1080,512,108,17.5,4,3024.45,1
2,0.0,1,8,0,0,15.6,1080,512,108,17.5,4,3189.45,1
2,0.0,0,8,1,0,15.6,1080,1000,108,17.5,4,2749.45,1
4,0.0,1,8,0,0,15.6,1080,512,560,102.0,4,1979.45,1
4,0.0,1,8,1,0,15.6,1080,512,362,5.05,4,2336.95,1
2,0.0,1,4,1,0,15.6,1080,512,560,102.0,4,1869.94,1
2,0.0,1,8,0,0,14.0,1080,512,362,5.05,4,2364.45,1
2,0.0,1,16,0,1,13.3,1080,512,108,17.5,6,4839.45,1
4,0.0,0,8,0,0,15.6,1080,1000,540,5.05,4,2144.45,1
2,0.0,1,16,0,1,14.0,1440,512,87,102.0,6,5054.5,1
2,0.0,1,8,0,0,14.0,1080,512,362,5.05,4,2364.45,1
3,0.0,0,4,0,1,13.3,1080,128,873,5.05,6,2364.45,1
3,0.0,1,8,0,1,13.3,1080,256,873,5.05,6,3024.45,1
2,0.0,1,16,0,1,13.3,1080,512,61,17.5,6,5774.45,1
2,2.0,1,16,0,1,14.0,1080,1000,61,33.8,6,7424.45,1
2,0.0,1,8,0,1,14.0,1080,512,108,17.5,6,5499.45,1
2,0.0,1,8,0,0,14.0,1080,512,362,5.05,4,2364.45,1
2,0.0,1,16,0,1,13.3,1080,512,108,17.5,6,4839.45,1
2,0.0,1,8,0,0,14.0,1080,512,362,5.05,4,2364.45,1
2,0.0,1,4,0,0,14.0,1080,256,674,1.53,4,1649.45,1
2,2.0,1,16,0,1,14.0,1080,512,108,33.8,6,6324.45,1
2,0.0,1,8,0,1,14.0,1080,512,108,17.5,6,5499.45,1
2,2.0,1,16,1,0,15.6,1080,512,108,17.5,4,3959.45,1
4,4.0,1,16,0,0,15.6,1080,512,187,59.9,4,3794.45,1
4,0.0,1,16,0,0,14.0,1080,512,108,4.23,4,3961.76,1
4,0.0,1,8,0,0,15.6,1080,512,87,102.0,4,2639.45,1
2,0.0,1,8,0,0,15.6,1080,512,87,102.0,4,2639.45,1
2,0.0,1,8,0,0,15.6,1080,512,362,5.05,4,2309.45,1
4,0.0,1,8,0,0,15.6,1080,512,108,4.23,4,3079.94,1
2,4.0,1,16,1,0,14.0,1080,512,64,59.9,4,4399.45,2
1,0.0,1,16,1,0,14.0,1080,512,64,59.9,4,4399.45,2
1,0.0,1,16,0,0,14.0,1440,512,108,17.5,4,3629.45,1
4,0.0,1,8,0,0,15.6,720,1256,540,4.23,4,2254.45,1
2,4.0,1,16,0,0,14.0,1080,1000,64,59.0,4,5499.45,1
2,0.0,1,8,0,1,14.0,1080,512,108,17.5,4,4124.45,1
2,0.0,1,8,1,0,15.6,1080,1000,540,5.05,4,1869.45,1
2,2.0,1,8,0,0,15.6,1080,512,108,16.5,4,4729.45,2
1,6.0,1,16,1,0,15.6,1080,1000,45,132.0,4,7699.45,2
1,8.0,1,32,1,0,15.6,1080,1000,45,154.0,4,9349.45,2
4,0.0,1,4,1,0,15.6,1080,256,674,4.23,4,1979.45,1
4,0.0,1,4,0,0,14.0,1080,256,540,4.23,4,1896.95,1
4,0.0,1,16,0,0,15.6,1080,1256,362,4.23,4,2804.94,1
4,0.0,1,8,0,0,15.6,1440,256,362,4.23,4,2084.45,1
